X,Y,CCN,REPORT_DAT,SHIFT,METHOD,OFFENSE,BLOCK,XBLOCK,YBLOCK,WARD,ANC,DISTRICT,PSA,NEIGHBORHOOD_CLUSTER,BLOCK_GROUP,CENSUS_TRACT,VOTING_PRECINCT,LATITUDE,LONGITUDE,BID,START_DATE,END_DATE,OBJECTID,OCTO_RECORD_ID
401043.018700004,130465.005199999,25166470,2025/11/02 00:17:32+00,EVENING,OTHERS,THEFT/OTHER,1300 - 1319 BLOCK OF CONGRESS STREET SE,401043.018718921,130465.005174502,8,8C,7,705,Cluster 38,007304 3,007304,Precinct 120,38.8419825924,-76.9879856504,,2025/11/01 22:45:00+00,2025/11/01 23:56:00+00,844744470,
396565.170000002,139474.530000001,25425116,2025/11/26 17:04:03+00,DAY,OTHERS,THEFT/OTHER,1700 - 1733 BLOCK OF EUCLID STREET NW,396565.17,139474.53,1,1C,3,303,Cluster 1,003802 2,003802,Precinct 35,38.9231377699,-77.0396102317,,2025/11/25 14:05:00+00,2025/11/25 14:10:00+00,844744838,
405964.509999998,134419.23,25177729,2025/11/23 05:01:01+00,MIDNIGHT,OTHERS,THEFT/OTHER,5000 - 5069 BLOCK OF BENNING ROAD SE,405964.51,134419.23,7,7E,6,604,Cluster 33,007707 3,007707,Precinct 106,38.8775843035,-76.9312615719,,2025/11/23 03:49:00+00,2025/11/23 04:18:00+00,844744948,
401135.869900003,135000.3803,25178210,2025/11/24 02:32:27+00,EVENING,OTHERS,THEFT/OTHER,1300 - 1399 BLOCK OF E STREET SE,401135.869855007,135000.380250711,6,6B,1,106,Cluster 26,006900 2,006900,Precinct 91,38.8828390269,-76.9869086226,,2025/11/23 22:02:00+00,2025/11/23 22:23:00+00,844744949,
397171.109999999,137408.25,25167396,2025/11/03 22:41:16+00,EVENING,OTHERS,THEFT/OTHER,1100 - 1199 BLOCK OF VERMONT AVENUE NW,397171.11,137408.25,2,2C,2,207,Cluster 8,010100 3,010100,Precinct 17,38.9045261865,-77.0326140595,DOWNTOWN,2025/11/03 20:11:00+00,2025/11/03 20:15:00+00,844745035,
401626.979999997,138513.609999999,25170846,2025/11/10 02:19:17+00,EVENING,OTHERS,THEFT/OTHER,2032 - 2099 BLOCK OF WEST VIRGINIA AVENUE NE,401626.98,138513.61,5,5D,5,506,Cluster 23,008803 1,008803,Precinct 76,38.9144866947,-76.9812400509,,2025/11/08 02:00:00+00,2025/11/08 07:00:00+00,844745055,
397059.979999997,138470.280000001,25176789,2025/11/21 16:54:59+00,DAY,OTHERS,THEFT/OTHER,1416 - 1499 BLOCK OF S STREET NW,397059.98,138470.28,2,2F,3,301,Cluster 7,005202 3,005202,Precinct 16,38.914092952,-77.0338998156,,2025/11/19 20:05:00+00,2025/11/19 20:40:00+00,844745327,
397588.100000001,141553.59,25176413,2025/11/20 22:51:42+00,EVENING,OTHERS,THEFT/OTHER,1200 - 1299 BLOCK OF UPSHUR STREET NW,397588.1,141553.59,4,4C,4,404,Cluster 18,002503 1,002503,Precinct 47,38.9418699776,-77.0278211785,,2025/11/20 21:24:00+00,2025/11/20 21:29:00+00,844745654,
395499.25,139592.960000001,25179477,2025/11/26 15:53:20+00,DAY,OTHERS,THEFT/OTHER,2600 - 2649 BLOCK OF CONNECTICUT AVENUE NW,395499.25,139592.96,3,3C,2,204,Cluster 15,000501 1,000501,Precinct 136,38.9241998122,-77.0519031245,,2025/11/26 15:09:00+00,2025/11/26 15:16:00+00,844745677,
397823.780000001,141376.73,25179533,2025/11/26 19:00:07+00,DAY,OTHERS,THEFT/OTHER,4000 - 4099 BLOCK OF GEORGIA AVENUE NW,397823.78,141376.73,4,4C,4,404,Cluster 18,002503 1,002503,Precinct 47,38.940277387,-77.0251020575,,2025/11/26 18:45:00+00,,844745678,
396544.240000002,138793.640000001,25424736,2025/10/31 20:01:48+00,EVENING,OTHERS,THEFT/OTHER,1700 - 1780 BLOCK OF U STREET NW,396544.24,138793.64,2,2B,3,301,Cluster 6,004201 2,004201,Precinct 141,38.9170040097,-77.0398481676,,2025/10/31 19:20:00+00,2025/10/31 19:20:00+00,844745783,
